workerid,participant_id,condition,scenario,question,response,distal,proximal,age,gender,race,ethnicity
1167,P1780166235139_7157,mental,hurt,cause,distal,1,0,33,Male,Asian,Non-Hispanic
1167,P1780166235139_7157,mental,hurt,lexical,distal,1,0,33,Male,Asian,Non-Hispanic
1167,P1780166235139_7157,mental,shock,cause,distal,1,0,33,Male,Asian,Non-Hispanic
1167,P1780166235139_7157,mental,shock,lexical,distal,1,0,33,Male,Asian,Non-Hispanic
1185,P1780166276822_920,mental,hurt,cause,distal,1,0,53,Female,Asian,Non-Hispanic
1185,P1780166276822_920,mental,hurt,lexical,distal,1,0,53,Female,Asian,Non-Hispanic
1185,P1780166276822_920,mental,shock,cause,distal,1,0,53,Female,Asian,Non-Hispanic
1185,P1780166276822_920,mental,shock,lexical,distal,1,0,53,Female,Asian,Non-Hispanic
1297,P1780167961227_9033,mental,hurt,cause,distal,1,0,34,Male,Black/African American,Non-Hispanic
1297,P1780167961227_9033,mental,hurt,lexical,distal,1,0,34,Male,Black/African American,Non-Hispanic
1297,P1780167961227_9033,mental,shock,cause,distal,1,0,34,Male,Black/African American,Non-Hispanic
1297,P1780167961227_9033,mental,shock,lexical,distal,1,0,34,Male,Black/African American,Non-Hispanic
1142,P1780166185190_5769,mental,hurt,cause,distal,1,0,41,Male,White,Non-Hispanic
1142,P1780166185190_5769,mental,hurt,lexical,distal,1,0,41,Male,White,Non-Hispanic
1142,P1780166185190_5769,mental,shock,cause,distal,1,0,41,Male,White,Non-Hispanic
1142,P1780166185190_5769,mental,shock,lexical,distal,1,0,41,Male,White,Non-Hispanic
1243,P1780166600369_5571,mental,hurt,cause,proximal,0,1,36,Female,White,Non-Hispanic
1243,P1780166600369_5571,mental,hurt,lexical,distal,1,0,36,Female,White,Non-Hispanic
1243,P1780166600369_5571,mental,shock,cause,distal,1,0,36,Female,White,Non-Hispanic
1243,P1780166600369_5571,mental,shock,lexical,distal,1,0,36,Female,White,Non-Hispanic
1217,P1780166380615_5091,mental,hurt,cause,distal,1,0,27,Male,Black/African American,Non-Hispanic
1217,P1780166380615_5091,mental,hurt,lexical,distal,1,0,27,Male,Black/African American,Non-Hispanic
1217,P1780166380615_5091,mental,shock,cause,distal,1,0,27,Male,Black/African American,Non-Hispanic
1217,P1780166380615_5091,mental,shock,lexical,proximal,0,1,27,Male,Black/African American,Non-Hispanic
1266,P1780166747534_6926,mental,hurt,cause,proximal,0,1,39,Female,other_race,Hispanic
1266,P1780166747534_6926,mental,hurt,lexical,distal,1,0,39,Female,other_race,Hispanic
1266,P1780166747534_6926,mental,shock,cause,proximal,0,1,39,Female,other_race,Hispanic
1266,P1780166747534_6926,mental,shock,lexical,distal,1,0,39,Female,other_race,Hispanic
1175,P1780166250701_3391,mental,hurt,cause,distal,1,0,31,Female,White,Non-Hispanic
1175,P1780166250701_3391,mental,hurt,lexical,distal,1,0,31,Female,White,Non-Hispanic
1175,P1780166250701_3391,mental,shock,cause,proximal,0,1,31,Female,White,Non-Hispanic
1175,P1780166250701_3391,mental,shock,lexical,distal,1,0,31,Female,White,Non-Hispanic
1093,P1780166105081_810,mental,hurt,cause,distal,1,0,39,,White,Non-Hispanic
1093,P1780166105081_810,mental,hurt,lexical,distal,1,0,39,,White,Non-Hispanic
1093,P1780166105081_810,mental,shock,cause,distal,1,0,39,,White,Non-Hispanic
1093,P1780166105081_810,mental,shock,lexical,proximal,0,1,39,,White,Non-Hispanic
1113,P1780166120389_2338,mental,hurt,cause,proximal,0,1,30,Female,White,Non-Hispanic
1113,P1780166120389_2338,mental,hurt,lexical,distal,1,0,30,Female,White,Non-Hispanic
1113,P1780166120389_2338,mental,shock,cause,distal,1,0,30,Female,White,Non-Hispanic
1113,P1780166120389_2338,mental,shock,lexical,proximal,0,1,30,Female,White,Non-Hispanic
1171,P1780166241548_4303,mental,hurt,cause,distal,1,0,43,Male,White,Non-Hispanic
1171,P1780166241548_4303,mental,hurt,lexical,distal,1,0,43,Male,White,Non-Hispanic
1171,P1780166241548_4303,mental,shock,cause,proximal,0,1,43,Male,White,Non-Hispanic
1171,P1780166241548_4303,mental,shock,lexical,distal,1,0,43,Male,White,Non-Hispanic
1097,P1780166121292_4225,mental,hurt,cause,distal,1,0,40,Male,Black/African American,Hispanic
1097,P1780166121292_4225,mental,hurt,lexical,distal,1,0,40,Male,Black/African American,Hispanic
1097,P1780166121292_4225,mental,shock,cause,proximal,0,1,40,Male,Black/African American,Hispanic
1097,P1780166121292_4225,mental,shock,lexical,distal,1,0,40,Male,Black/African American,Hispanic
1249,P1780166628908_8051,mental,hurt,cause,distal,1,0,50,Female,Black/African American,Non-Hispanic
1249,P1780166628908_8051,mental,hurt,lexical,distal,1,0,50,Female,Black/African American,Non-Hispanic
1249,P1780166628908_8051,mental,shock,cause,proximal,0,1,50,Female,Black/African American,Non-Hispanic
1249,P1780166628908_8051,mental,shock,lexical,distal,1,0,50,Female,Black/African American,Non-Hispanic
1131,P1780166146480_3841,mental,hurt,cause,distal,1,0,31,Female,White,Non-Hispanic
1131,P1780166146480_3841,mental,hurt,lexical,distal,1,0,31,Female,White,Non-Hispanic
1131,P1780166146480_3841,mental,shock,cause,distal,1,0,31,Female,White,Non-Hispanic
1131,P1780166146480_3841,mental,shock,lexical,proximal,0,1,31,Female,White,Non-Hispanic
1140,P1780166173602_6795,mental,hurt,cause,proximal,0,1,35,Female,Asian,Non-Hispanic
1140,P1780166173602_6795,mental,hurt,lexical,distal,1,0,35,Female,Asian,Non-Hispanic
1140,P1780166173602_6795,mental,shock,cause,proximal,0,1,35,Female,Asian,Non-Hispanic
1140,P1780166173602_6795,mental,shock,lexical,distal,1,0,35,Female,Asian,Non-Hispanic
1163,P1780166226864_7236,mental,hurt,cause,distal,1,0,35,Male,White,Non-Hispanic
1163,P1780166226864_7236,mental,hurt,lexical,distal,1,0,35,Male,White,Non-Hispanic
1163,P1780166226864_7236,mental,shock,cause,distal,1,0,35,Male,White,Non-Hispanic
1163,P1780166226864_7236,mental,shock,lexical,distal,1,0,35,Male,White,Non-Hispanic
1295,P1780167770620_1553,mental,hurt,cause,distal,1,0,48,Female,Black/African American,Non-Hispanic
1295,P1780167770620_1553,mental,hurt,lexical,distal,1,0,48,Female,Black/African American,Non-Hispanic
1295,P1780167770620_1553,mental,shock,cause,distal,1,0,48,Female,Black/African American,Non-Hispanic
1295,P1780167770620_1553,mental,shock,lexical,distal,1,0,48,Female,Black/African American,Non-Hispanic
1150,P1780166199527_5171,mental,hurt,cause,distal,1,0,39,Female,Black/African American,Non-Hispanic
1150,P1780166199527_5171,mental,hurt,lexical,distal,1,0,39,Female,Black/African American,Non-Hispanic
1150,P1780166199527_5171,mental,shock,cause,distal,1,0,39,Female,Black/African American,Non-Hispanic
1150,P1780166199527_5171,mental,shock,lexical,proximal,0,1,39,Female,Black/African American,Non-Hispanic
1146,P1780166194006_2645,mental,hurt,cause,distal,1,0,39,Male,White,Non-Hispanic
1146,P1780166194006_2645,mental,hurt,lexical,distal,1,0,39,Male,White,Non-Hispanic
1146,P1780166194006_2645,mental,shock,cause,distal,1,0,39,Male,White,Non-Hispanic
1146,P1780166194006_2645,mental,shock,lexical,distal,1,0,39,Male,White,Non-Hispanic
1191,P1780166292967_5952,mental,hurt,cause,proximal,0,1,42,Female,Asian,Non-Hispanic
1191,P1780166292967_5952,mental,hurt,lexical,distal,1,0,42,Female,Asian,Non-Hispanic
1191,P1780166292967_5952,mental,shock,cause,distal,1,0,42,Female,Asian,Non-Hispanic
1191,P1780166292967_5952,mental,shock,lexical,distal,1,0,42,Female,Asian,Non-Hispanic
1124,P1780166132268_6499,mental,hurt,cause,distal,1,0,59,Female,White,Non-Hispanic
1124,P1780166132268_6499,mental,hurt,lexical,distal,1,0,59,Female,White,Non-Hispanic
1124,P1780166132268_6499,mental,shock,cause,proximal,0,1,59,Female,White,Non-Hispanic
1124,P1780166132268_6499,mental,shock,lexical,proximal,0,1,59,Female,White,Non-Hispanic
1200,P1780166312498_1463,mental,hurt,cause,distal,1,0,27,Female,White,Non-Hispanic
1200,P1780166312498_1463,mental,hurt,lexical,distal,1,0,27,Female,White,Non-Hispanic
1200,P1780166312498_1463,mental,shock,cause,distal,1,0,27,Female,White,Non-Hispanic
1200,P1780166312498_1463,mental,shock,lexical,distal,1,0,27,Female,White,Non-Hispanic
1205,P1780166352101_8004,mental,hurt,cause,distal,1,0,29,Male,Black/African American,Non-Hispanic
1205,P1780166352101_8004,mental,hurt,lexical,distal,1,0,29,Male,Black/African American,Non-Hispanic
1205,P1780166352101_8004,mental,shock,cause,distal,1,0,29,Male,Black/African American,Non-Hispanic
1205,P1780166352101_8004,mental,shock,lexical,distal,1,0,29,Male,Black/African American,Non-Hispanic
1103,P1780166111309_8377,mental,hurt,cause,proximal,0,1,25,Female,Black/African American,Non-Hispanic
1103,P1780166111309_8377,mental,hurt,lexical,distal,1,0,25,Female,Black/African American,Non-Hispanic
1103,P1780166111309_8377,mental,shock,cause,proximal,0,1,25,Female,Black/African American,Non-Hispanic
1103,P1780166111309_8377,mental,shock,lexical,distal,1,0,25,Female,Black/African American,Non-Hispanic
1241,P1780166552943_9043,mental,hurt,cause,distal,1,0,60,Female,White,Hispanic
1241,P1780166552943_9043,mental,hurt,lexical,distal,1,0,60,Female,White,Hispanic
1241,P1780166552943_9043,mental,shock,cause,distal,1,0,60,Female,White,Hispanic
1241,P1780166552943_9043,mental,shock,lexical,distal,1,0,60,Female,White,Hispanic
1291,P1780167670601_2611,mental,hurt,cause,distal,1,0,56,Male,White,Non-Hispanic
1291,P1780167670601_2611,mental,hurt,lexical,distal,1,0,56,Male,White,Non-Hispanic
1291,P1780167670601_2611,mental,shock,cause,distal,1,0,56,Male,White,Non-Hispanic
1291,P1780167670601_2611,mental,shock,lexical,distal,1,0,56,Male,White,Non-Hispanic
1259,P1780166650026_9153,mental,hurt,cause,distal,1,0,26,Female,White,Hispanic
1259,P1780166650026_9153,mental,hurt,lexical,distal,1,0,26,Female,White,Hispanic
1259,P1780166650026_9153,mental,shock,cause,proximal,0,1,26,Female,White,Hispanic
1259,P1780166650026_9153,mental,shock,lexical,distal,1,0,26,Female,White,Hispanic
1255,P1780166639995_295,mental,hurt,cause,distal,1,0,63,Female,White,Non-Hispanic
1255,P1780166639995_295,mental,hurt,lexical,distal,1,0,63,Female,White,Non-Hispanic
1255,P1780166639995_295,mental,shock,cause,proximal,0,1,63,Female,White,Non-Hispanic
1255,P1780166639995_295,mental,shock,lexical,proximal,0,1,63,Female,White,Non-Hispanic
1233,P1780166498450_9725,mental,hurt,cause,distal,1,0,46,Female,White,Non-Hispanic
1233,P1780166498450_9725,mental,hurt,lexical,distal,1,0,46,Female,White,Non-Hispanic
1233,P1780166498450_9725,mental,shock,cause,distal,1,0,46,Female,White,Non-Hispanic
1233,P1780166498450_9725,mental,shock,lexical,distal,1,0,46,Female,White,Non-Hispanic
1133,P1780166149276_7379,mental,hurt,cause,distal,1,0,50,Female,Black/African American,Non-Hispanic
1133,P1780166149276_7379,mental,hurt,lexical,distal,1,0,50,Female,Black/African American,Non-Hispanic
1133,P1780166149276_7379,mental,shock,cause,distal,1,0,50,Female,Black/African American,Non-Hispanic
1133,P1780166149276_7379,mental,shock,lexical,proximal,0,1,50,Female,Black/African American,Non-Hispanic
1129,P1780166144719_8302,mental,hurt,cause,distal,1,0,40,Female,White,Non-Hispanic
1129,P1780166144719_8302,mental,hurt,lexical,distal,1,0,40,Female,White,Non-Hispanic
1129,P1780166144719_8302,mental,shock,cause,distal,1,0,40,Female,White,Non-Hispanic
1129,P1780166144719_8302,mental,shock,lexical,distal,1,0,40,Female,White,Non-Hispanic
1253,P1780166631996_3976,mental,hurt,cause,distal,1,0,52,Female,White,Non-Hispanic
1253,P1780166631996_3976,mental,hurt,lexical,distal,1,0,52,Female,White,Non-Hispanic
1253,P1780166631996_3976,mental,shock,cause,distal,1,0,52,Female,White,Non-Hispanic
1253,P1780166631996_3976,mental,shock,lexical,distal,1,0,52,Female,White,Non-Hispanic
1211,P1780166370289_4857,mental,hurt,cause,distal,1,0,53,Female,White,Non-Hispanic
1211,P1780166370289_4857,mental,hurt,lexical,distal,1,0,53,Female,White,Non-Hispanic
1211,P1780166370289_4857,mental,shock,cause,distal,1,0,53,Female,White,Non-Hispanic
1211,P1780166370289_4857,mental,shock,lexical,proximal,0,1,53,Female,White,Non-Hispanic
1209,P1780166363452_9382,mental,hurt,cause,distal,1,0,21,Female,White,Non-Hispanic
1209,P1780166363452_9382,mental,hurt,lexical,distal,1,0,21,Female,White,Non-Hispanic
1209,P1780166363452_9382,mental,shock,cause,proximal,0,1,21,Female,White,Non-Hispanic
1209,P1780166363452_9382,mental,shock,lexical,proximal,0,1,21,Female,White,Non-Hispanic
1107,P1780166113945_6309,mental,hurt,cause,distal,1,0,52,Female,White,Hispanic
1107,P1780166113945_6309,mental,hurt,lexical,distal,1,0,52,Female,White,Hispanic
1107,P1780166113945_6309,mental,shock,cause,proximal,0,1,52,Female,White,Hispanic
1107,P1780166113945_6309,mental,shock,lexical,distal,1,0,52,Female,White,Hispanic
1119,P1780166126529_4938,mental,hurt,cause,distal,1,0,47,Female,White,Non-Hispanic
1119,P1780166126529_4938,mental,hurt,lexical,distal,1,0,47,Female,White,Non-Hispanic
1119,P1780166126529_4938,mental,shock,cause,distal,1,0,47,Female,White,Non-Hispanic
1119,P1780166126529_4938,mental,shock,lexical,distal,1,0,47,Female,White,Non-Hispanic
1183,P1780166269202_1185,mental,hurt,cause,distal,1,0,34,Male,White,Non-Hispanic
1183,P1780166269202_1185,mental,hurt,lexical,distal,1,0,34,Male,White,Non-Hispanic
1183,P1780166269202_1185,mental,shock,cause,distal,1,0,34,Male,White,Non-Hispanic
1183,P1780166269202_1185,mental,shock,lexical,distal,1,0,34,Male,White,Non-Hispanic
1173,P1780166242454_7715,mental,hurt,cause,distal,1,0,39,Male,White,Hispanic
1173,P1780166242454_7715,mental,hurt,lexical,distal,1,0,39,Male,White,Hispanic
1173,P1780166242454_7715,mental,shock,cause,distal,1,0,39,Male,White,Hispanic
1173,P1780166242454_7715,mental,shock,lexical,distal,1,0,39,Male,White,Hispanic
1165,P1780166231502_9319,mental,hurt,cause,proximal,0,1,21,Female,White,Non-Hispanic
1165,P1780166231502_9319,mental,hurt,lexical,distal,1,0,21,Female,White,Non-Hispanic
1165,P1780166231502_9319,mental,shock,cause,distal,1,0,21,Female,White,Non-Hispanic
1165,P1780166231502_9319,mental,shock,lexical,distal,1,0,21,Female,White,Non-Hispanic
1215,P1780166376092_8804,mental,hurt,cause,distal,1,0,52,Male,White,Non-Hispanic
1215,P1780166376092_8804,mental,hurt,lexical,distal,1,0,52,Male,White,Non-Hispanic
1215,P1780166376092_8804,mental,shock,cause,distal,1,0,52,Male,White,Non-Hispanic
1215,P1780166376092_8804,mental,shock,lexical,distal,1,0,52,Male,White,Non-Hispanic
1264,P1780166741451_4386,mental,hurt,cause,distal,1,0,39,Male,Black/African American,Hispanic
1264,P1780166741451_4386,mental,hurt,lexical,distal,1,0,39,Male,Black/African American,Hispanic
1264,P1780166741451_4386,mental,shock,cause,distal,1,0,39,Male,Black/African American,Hispanic
1264,P1780166741451_4386,mental,shock,lexical,distal,1,0,39,Male,Black/African American,Hispanic
1273,P1780166944657_9700,mental,hurt,cause,proximal,0,1,30,Female,White,Non-Hispanic
1273,P1780166944657_9700,mental,hurt,lexical,proximal,0,1,30,Female,White,Non-Hispanic
1273,P1780166944657_9700,mental,shock,cause,distal,1,0,30,Female,White,Non-Hispanic
1273,P1780166944657_9700,mental,shock,lexical,distal,1,0,30,Female,White,Non-Hispanic
1301,P1780168240610_5950,mental,hurt,cause,distal,1,0,49,Male,Asian,Non-Hispanic
1301,P1780168240610_5950,mental,hurt,lexical,distal,1,0,49,Male,Asian,Non-Hispanic
1301,P1780168240610_5950,mental,shock,cause,distal,1,0,49,Male,Asian,Non-Hispanic
1301,P1780168240610_5950,mental,shock,lexical,distal,1,0,49,Male,Asian,Non-Hispanic
1138,P1780166165567_4682,mental,hurt,cause,distal,1,0,18,Female,White,Non-Hispanic
1138,P1780166165567_4682,mental,hurt,lexical,proximal,0,1,18,Female,White,Non-Hispanic
1138,P1780166165567_4682,mental,shock,cause,distal,1,0,18,Female,White,Non-Hispanic
1138,P1780166165567_4682,mental,shock,lexical,proximal,0,1,18,Female,White,Non-Hispanic
1123,P1780166129669_4218,mental,hurt,cause,distal,1,0,45,Female,White,Hispanic
1123,P1780166129669_4218,mental,hurt,lexical,distal,1,0,45,Female,White,Hispanic
1123,P1780166129669_4218,mental,shock,cause,distal,1,0,45,Female,White,Hispanic
1123,P1780166129669_4218,mental,shock,lexical,distal,1,0,45,Female,White,Hispanic
1087,P1780166085471_9900,mental,hurt,cause,distal,1,0,37,Male,White,Non-Hispanic
1087,P1780166085471_9900,mental,hurt,lexical,distal,1,0,37,Male,White,Non-Hispanic
1087,P1780166085471_9900,mental,shock,cause,distal,1,0,37,Male,White,Non-Hispanic
1087,P1780166085471_9900,mental,shock,lexical,proximal,0,1,37,Male,White,Non-Hispanic
1136,P1780166168427_8999,mental,hurt,cause,distal,1,0,43,Female,White,Hispanic
1136,P1780166168427_8999,mental,hurt,lexical,distal,1,0,43,Female,White,Hispanic
1136,P1780166168427_8999,mental,shock,cause,distal,1,0,43,Female,White,Hispanic
1136,P1780166168427_8999,mental,shock,lexical,distal,1,0,43,Female,White,Hispanic
1169,P1780166237451_6263,mental,hurt,cause,distal,1,0,35,Female,White,Non-Hispanic
1169,P1780166237451_6263,mental,hurt,lexical,distal,1,0,35,Female,White,Non-Hispanic
1169,P1780166237451_6263,mental,shock,cause,proximal,0,1,35,Female,White,Non-Hispanic
1169,P1780166237451_6263,mental,shock,lexical,distal,1,0,35,Female,White,Non-Hispanic
1287,P1780167483156_1290,mental,hurt,cause,distal,1,0,53,Female,Asian,Non-Hispanic
1287,P1780167483156_1290,mental,hurt,lexical,distal,1,0,53,Female,Asian,Non-Hispanic
1287,P1780167483156_1290,mental,shock,cause,proximal,0,1,53,Female,Asian,Non-Hispanic
1287,P1780167483156_1290,mental,shock,lexical,distal,1,0,53,Female,Asian,Non-Hispanic
1159,P1780166217305_24,mental,hurt,cause,distal,1,0,28,Female,other_race,Non-Hispanic
1159,P1780166217305_24,mental,hurt,lexical,distal,1,0,28,Female,other_race,Non-Hispanic
1159,P1780166217305_24,mental,shock,cause,distal,1,0,28,Female,other_race,Non-Hispanic
1159,P1780166217305_24,mental,shock,lexical,distal,1,0,28,Female,other_race,Non-Hispanic
1144,P1780166191696_8275,mental,hurt,cause,proximal,0,1,23,Male,White,Non-Hispanic
1144,P1780166191696_8275,mental,hurt,lexical,distal,1,0,23,Male,White,Non-Hispanic
1144,P1780166191696_8275,mental,shock,cause,proximal,0,1,23,Male,White,Non-Hispanic
1144,P1780166191696_8275,mental,shock,lexical,distal,1,0,23,Male,White,Non-Hispanic
1109,P1780166117167_4053,mental,hurt,cause,distal,1,0,22,Female,Asian,Non-Hispanic
1109,P1780166117167_4053,mental,hurt,lexical,distal,1,0,22,Female,Asian,Non-Hispanic
1109,P1780166117167_4053,mental,shock,cause,proximal,0,1,22,Female,Asian,Non-Hispanic
1109,P1780166117167_4053,mental,shock,lexical,distal,1,0,22,Female,Asian,Non-Hispanic
1161,P1780166228434_5417,mental,hurt,cause,distal,1,0,47,,,
1161,P1780166228434_5417,mental,hurt,lexical,distal,1,0,47,,,
1161,P1780166228434_5417,mental,shock,cause,distal,1,0,47,,,
1161,P1780166228434_5417,mental,shock,lexical,distal,1,0,47,,,
1231,P1780166490936_7525,mental,hurt,cause,proximal,0,1,75,Female,White,Non-Hispanic
1231,P1780166490936_7525,mental,hurt,lexical,distal,1,0,75,Female,White,Non-Hispanic
1231,P1780166490936_7525,mental,shock,cause,distal,1,0,75,Female,White,Non-Hispanic
1231,P1780166490936_7525,mental,shock,lexical,proximal,0,1,75,Female,White,Non-Hispanic
1303,P1780168532714_7509,mental,hurt,cause,distal,1,0,23,Female,Asian,Non-Hispanic
1303,P1780168532714_7509,mental,hurt,lexical,distal,1,0,23,Female,Asian,Non-Hispanic
1303,P1780168532714_7509,mental,shock,cause,distal,1,0,23,Female,Asian,Non-Hispanic
1303,P1780168532714_7509,mental,shock,lexical,proximal,0,1,23,Female,Asian,Non-Hispanic
1153,P1780166205915_5021,mental,hurt,cause,proximal,0,1,45,Male,Black/African American,Non-Hispanic
1153,P1780166205915_5021,mental,hurt,lexical,proximal,0,1,45,Male,Black/African American,Non-Hispanic
1153,P1780166205915_5021,mental,shock,cause,proximal,0,1,45,Male,Black/African American,Non-Hispanic
1153,P1780166205915_5021,mental,shock,lexical,distal,1,0,45,Male,Black/African American,Non-Hispanic
1196,P1780166305248_3034,mental,hurt,cause,distal,1,0,43,Female,White,Non-Hispanic
1196,P1780166305248_3034,mental,hurt,lexical,distal,1,0,43,Female,White,Non-Hispanic
1196,P1780166305248_3034,mental,shock,cause,distal,1,0,43,Female,White,Non-Hispanic
1196,P1780166305248_3034,mental,shock,lexical,distal,1,0,43,Female,White,Non-Hispanic
1155,P1780166214562_8151,mental,hurt,cause,proximal,0,1,70,Female,White,Non-Hispanic
1155,P1780166214562_8151,mental,hurt,lexical,distal,1,0,70,Female,White,Non-Hispanic
1155,P1780166214562_8151,mental,shock,cause,proximal,0,1,70,Female,White,Non-Hispanic
1155,P1780166214562_8151,mental,shock,lexical,distal,1,0,70,Female,White,Non-Hispanic
1268,P1780166752493_6559,mental,hurt,cause,distal,1,0,39,Male,White,Hispanic
1268,P1780166752493_6559,mental,hurt,lexical,distal,1,0,39,Male,White,Hispanic
1268,P1780166752493_6559,mental,shock,cause,proximal,0,1,39,Male,White,Hispanic
1268,P1780166752493_6559,mental,shock,lexical,proximal,0,1,39,Male,White,Hispanic
1271,P1780166815830_7954,mental,hurt,cause,distal,1,0,30,Female,White,Non-Hispanic
1271,P1780166815830_7954,mental,hurt,lexical,distal,1,0,30,Female,White,Non-Hispanic
1271,P1780166815830_7954,mental,shock,cause,distal,1,0,30,Female,White,Non-Hispanic
1271,P1780166815830_7954,mental,shock,lexical,distal,1,0,30,Female,White,Non-Hispanic
1279,P1780167115402_6657,mental,hurt,cause,distal,1,0,62,Female,White,Non-Hispanic
1279,P1780167115402_6657,mental,hurt,lexical,distal,1,0,62,Female,White,Non-Hispanic
1279,P1780167115402_6657,mental,shock,cause,distal,1,0,62,Female,White,Non-Hispanic
1279,P1780167115402_6657,mental,shock,lexical,proximal,0,1,62,Female,White,Non-Hispanic
1229,P1780166472096_5041,mental,hurt,cause,distal,1,0,36,Female,other_race,Non-Hispanic
1229,P1780166472096_5041,mental,hurt,lexical,distal,1,0,36,Female,other_race,Non-Hispanic
1229,P1780166472096_5041,mental,shock,cause,distal,1,0,36,Female,other_race,Non-Hispanic
1229,P1780166472096_5041,mental,shock,lexical,proximal,0,1,36,Female,other_race,Non-Hispanic
1213,P1780166371525_7085,mental,hurt,cause,proximal,0,1,36,Male,Asian,Non-Hispanic
1213,P1780166371525_7085,mental,hurt,lexical,proximal,0,1,36,Male,Asian,Non-Hispanic
1213,P1780166371525_7085,mental,shock,cause,proximal,0,1,36,Male,Asian,Non-Hispanic
1213,P1780166371525_7085,mental,shock,lexical,proximal,0,1,36,Male,Asian,Non-Hispanic
1237,P1780166507952_630,mental,hurt,cause,distal,1,0,32,Female,Black/African American,Non-Hispanic
1237,P1780166507952_630,mental,hurt,lexical,distal,1,0,32,Female,Black/African American,Non-Hispanic
1237,P1780166507952_630,mental,shock,cause,proximal,0,1,32,Female,Black/African American,Non-Hispanic
1237,P1780166507952_630,mental,shock,lexical,distal,1,0,32,Female,Black/African American,Non-Hispanic
1135,P1780166119482_9216,mental,hurt,cause,distal,1,0,34,Male,White,Non-Hispanic
1135,P1780166119482_9216,mental,hurt,lexical,distal,1,0,34,Male,White,Non-Hispanic
1135,P1780166119482_9216,mental,shock,cause,distal,1,0,34,Male,White,Non-Hispanic
1135,P1780166119482_9216,mental,shock,lexical,distal,1,0,34,Male,White,Non-Hispanic
1240,P1780166549738_4969,mental,hurt,cause,distal,1,0,45,Male,White,Non-Hispanic
1240,P1780166549738_4969,mental,hurt,lexical,distal,1,0,45,Male,White,Non-Hispanic
1240,P1780166549738_4969,mental,shock,cause,distal,1,0,45,Male,White,Non-Hispanic
1240,P1780166549738_4969,mental,shock,lexical,proximal,0,1,45,Male,White,Non-Hispanic
1095,P1780166100530_1137,mental,hurt,cause,distal,1,0,59,Female,White,Non-Hispanic
1095,P1780166100530_1137,mental,hurt,lexical,distal,1,0,59,Female,White,Non-Hispanic
1095,P1780166100530_1137,mental,shock,cause,distal,1,0,59,Female,White,Non-Hispanic
1095,P1780166100530_1137,mental,shock,lexical,proximal,0,1,59,Female,White,Non-Hispanic
1148,P1780166198505_5389,mental,hurt,cause,distal,1,0,41,Female,White,Non-Hispanic
1148,P1780166198505_5389,mental,hurt,lexical,distal,1,0,41,Female,White,Non-Hispanic
1148,P1780166198505_5389,mental,shock,cause,distal,1,0,41,Female,White,Non-Hispanic
1148,P1780166198505_5389,mental,shock,lexical,distal,1,0,41,Female,White,Non-Hispanic
1188,P1780166289463_7394,mental,hurt,cause,distal,1,0,57,Female,White,Non-Hispanic
1188,P1780166289463_7394,mental,hurt,lexical,distal,1,0,57,Female,White,Non-Hispanic
