workerid,proliferate.condition,balloon,drum,error
925,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
949,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
987,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
980,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
939,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1029,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
892,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
982,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
990,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1048,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
1039,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
889,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
875,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
887,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
963,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
984,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
865,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
1026,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
871,experimental,"['sad', 'cause_sad']","['anger', 'cause_anger']",
973,experimental,"['cause_sad', 'sad']","['cause_anger', 'anger']",
